[0920/175546.253:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[1121/150620.758:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1122/090648.513:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1122/090653.532:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1122/090658.552:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1122/090703.568:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1122/090708.675:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1122/090708.699:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1122/090708.779:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1122/090708.803:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1122/132832.429:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1122/132832.486:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1122/132832.518:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1122/132832.573:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1122/132833.696:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1122/132833.727:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
